date,tour,tournament,winner,loser,sets_w,sets_l,games_w,games_l,tiebreaks,odds_w,odds_l
2026-07-08,ATP,Iasi challenger,Piros Z.,Dzumhur D.,2,1,16,13,0,1.64,2.2
2026-07-08,ATP,Bogotá 5 challenger,Andrade Da Silva L.,Meligeni Rodrigues Alv,2,1,17,16,1,2.57,1.47
2026-07-08,ATP,Trieste challenger,Brancaccio R.,Pellegrino A.,2,1,15,13,0,3.23,1.29
2026-07-08,ATP,Liege challenger,Damas M.,Bailly G.,2,1,15,13,0,2.18,1.63
2026-07-08,ATP,Nottingham 3 challenger,Gray A.,Brady P.,2,0,12,2,0,1.35,3.01
2026-07-08,ATP,Futures 2026,Thurgur C.,Peck J.,2,1,15,11,0,4.13,1.2
2026-07-08,ATP,UTR Pro Tennis Series 3,Avram G.,Battle L.,2,0,12,4,0,1.36,2.75
2026-07-08,ATP,UTR Pro Tennis Series 5,Penman C.,Gil F.,2,0,12,3,0,1.6,2.08
2026-07-08,ATP,UTR Pro Tennis Series 9,Wakamatsu T.,Nguyen D.,2,0,12,5,0,1.68,1.99
2026-07-08,ATP,Davis Cup,Sydow P.,Bergen Y.,2,0,12,1,0,,
2026-07-08,ATP,Newport challenger,Milavsky D.,Vandecasteele Q.,2,1,13,12,0,1.89,1.82
2026-07-08,WTA,Wimbledon,Kostyuk M.,Paolini J.,2,0,12,5,0,1.37,3.11
2026-07-08,WTA,Newport Beach WTA,Sawangkaew M.,Dolehide C.,2,0,12,7,0,1.53,2.4
2026-07-08,WTA,Bastad WTA,Burillo Escorihuela I.,Uchijima M.,2,1,19,16,1,4.71,1.17
2026-07-08,WTA,Contrexeville WTA,Sherif M.,Hesse A.,2,0,13,8,0,1.08,7.26
2026-07-08,WTA,Aschaffenburg ITF,Niemeier J.,Mazzola A.,2,1,13,12,0,2.05,1.69
2026-07-08,WTA,Haag 2 ITF,Feistel G.,Bertea E.,2,0,12,5,0,1.58,2.24
2026-07-08,WTA,Columbus ITF,Lu J.,Ekstrand M.,2,0,12,6,0,1.75,1.98
2026-07-08,WTA,Corroios-Seixal ITF,Bandecchi S.,Okamura K.,2,0,12,4,0,1.39,2.81
2026-07-08,WTA,Buzau ITF,Kuhl C.,Sieg M.,2,0,12,4,0,3.43,1.27
2026-07-08,WTA,Don Benito ITF,Ryser V.,Tran D.,2,0,12,6,0,1.04,9.21
2026-07-08,WTA,Hillcrest 2 ITF,Pahwa S.,Schilz J.,2,0,12,7,0,1.59,2.21
2026-07-08,WTA,UTR Pro Tennis Series 5,Vozniak K.,Teodosescu A.,2,1,14,14,1,1.59,2.13
2026-07-08,WTA,Astana 14 ITF,Yodpetch K.,Kenzhibayeva S.,2,1,16,13,0,1.21,4.02
2026-07-08,WTA,Kursumlijska Banja 9 ITF,Stankovic A.,Djokic A.,2,0,12,1,0,1.01,16.1
2026-07-08,WTA,Luan 2 ITF,Malova A.,Liu X.,2,1,17,11,0,1.38,2.78
2026-07-08,WTA,Monastir 43 ITF,Shaw E.,Hurrion S.,2,0,12,3,0,1.09,6.42
2026-07-08,WTA,Rancho Santa Fe ITF,Kha N.,Morris A.,2,0,12,2,0,1.27,3.4
2026-07-08,WTA,Rio Claro ITF,Di Genova C.,Plaza Araujo L.,2,0,12,6,0,1.04,9.53
2026-07-08,WTA,UTR Pro Match Series,Chacon A.,Byers L.,2,0,12,5,0,1.69,1.95
2026-07-09,ATP,Newport challenger,Blanch D.,Johns G.,2,1,17,13,0,1.21,4.14
2026-07-09,ATP,Braunschweig challenger,Moeller M.,Vallejo A.,2,0,11,3,0,4.61,1.18
2026-07-09,ATP,Iasi challenger,Droguet T.,Pavlovic L.,2,0,13,9,1,1.28,3.4
2026-07-09,ATP,Bogotá 5 challenger,Casanova H.,Ambrogi L.,2,0,13,8,1,1.93,1.78
2026-07-09,ATP,Trieste challenger,Dellien H.,Guerrieri A.,2,0,12,3,0,1.65,2.15
2026-07-09,ATP,Liege challenger,Broska F.,Onclin G.,2,1,18,15,1,3.17,1.32
2026-07-09,ATP,Nottingham 3 challenger,Searle H.,Vales A.,2,0,12,5,0,1.09,6.74
2026-07-09,ATP,Futures 2026,Ardila L.,Gorzny S.,2,0,13,7,1,3.19,1.31
2026-07-09,ATP,UTR Pro Tennis Series 3,Sanders O.,Ndumbe E.,2,0,13,9,0,,
2026-07-09,ATP,UTR Pro Tennis Series 5,Sheyngezikht L.,Gil F.,2,0,12,7,0,,
2026-07-09,ATP,UTR Pro Tennis Series 9,Munim D.,Malmygin R.,2,0,12,3,0,1.21,3.55
2026-07-09,ATP,Davis Cup,Beckles D.,Bennaton G.,2,0,12,4,0,,
2026-07-09,WTA,Wimbledon,Noskova L.,Kostyuk M.,2,0,12,8,0,2.26,1.64
2026-07-09,WTA,Newport Beach WTA,Minnen G.,Vidmanova D.,2,1,17,13,1,1.9,1.83
2026-07-09,WTA,Bastad WTA,Putintseva Y.,Kraus S.,2,0,12,5,0,1.78,1.99
2026-07-09,WTA,Contrexeville WTA,Jeanjean L.,Jones F.,2,1,14,15,0,1.81,1.93
2026-07-09,WTA,Aschaffenburg ITF,Gorgodze E.,Steiner V.,2,0,12,3,0,1.46,2.54
2026-07-09,WTA,Haag 2 ITF,Feistel G.,Ebeling Koning L.,2,1,17,15,1,1.17,4.58
2026-07-09,WTA,Columbus ITF,Daavettila S.,Lu J.,2,0,13,7,0,2.77,1.4
2026-07-09,WTA,Corroios-Seixal ITF,Bandecchi S.,Buyukakcay C.,2,0,12,4,0,1.19,4.16
2026-07-09,WTA,Buzau ITF,Gandolfi F.,Kuhl C.,2,1,18,10,1,1.7,2.03
2026-07-09,WTA,Don Benito ITF,Pawlikowska Z.,Teixido Garcia M.,2,0,12,2,0,1.19,4.27
2026-07-09,WTA,Hillcrest 2 ITF,Kruger I.,Buchnik M.,2,0,12,4,0,1.12,5.36
2026-07-09,WTA,UTR Pro Tennis Series 5,Kliuch V.,Longueville R.,2,0,13,8,1,4.0,1.18
2026-07-09,WTA,Astana 14 ITF,Dyussebay I.,Matsuda R.,0,0,0,0,0,5.44,1.12
2026-07-09,WTA,Kursumlijska Banja 9 ITF,Pavlou D.,Diabate E.,2,0,13,8,0,1.23,3.9
2026-07-09,WTA,Luan 2 ITF,Yamazaki I.,Choi S.,2,1,13,10,0,1.38,2.78
2026-07-09,WTA,Monastir 43 ITF,Rojas S.,Kashyap T.,2,0,10,5,0,1.12,5.39
2026-07-09,WTA,Rancho Santa Fe ITF,Shcherbinina A.,Gjinaj V.,2,0,12,4,0,1.06,7.4
2026-07-09,WTA,Rio Claro ITF,Souza M.,Konishi Camargo Silva J.,2,0,13,8,0,1.36,2.85
2026-07-09,WTA,UTR Pro Match Series,Manning A.,Souhrada S.,2,0,12,3,0,1.5,2.25
2026-07-10,ATP,Wimbledon,Sinner J.,Djokovic N.,3,0,18,12,0,1.2,4.58
2026-07-10,ATP,Newport challenger,Fearnley J.,Blanch D.,2,0,12,6,0,1.49,2.48
2026-07-10,ATP,Braunschweig challenger,Gaston H.,Moeller M.,2,0,12,6,0,1.37,2.92
2026-07-10,ATP,Iasi challenger,Royer V.,Daniel T.,2,1,16,10,0,1.63,2.18
2026-07-10,ATP,Bogotá 5 challenger,Varillas J.,Pucinelli De Almeida M.,2,0,13,9,1,2.64,1.44
2026-07-10,ATP,Bundesliga - men,Wiedenmann L.,Baez S.,2,1,20,17,1,,
2026-07-10,ATP,Trieste challenger,Bernet H.,Bondioli F.,2,1,15,15,1,1.99,1.74
2026-07-10,ATP,Liege challenger,Broska F.,Balshaw F.,2,0,13,10,1,3.42,1.29
2026-07-10,ATP,Nottingham 3 challenger,Basing M.,Gill F.,2,1,15,15,1,2.22,1.61
2026-07-10,ATP,Futures 2026,Friend J.,Kirchheimer S.,2,1,16,16,1,1.15,4.64
2026-07-10,ATP,UTR Pro Tennis Series 3,Mazev M.,Sachdev R.,2,1,15,13,0,1.82,1.82
2026-07-10,ATP,UTR Pro Tennis Series 5,Mikovic M.,Loizas A.,2,0,13,9,0,2.5,1.42
2026-07-10,ATP,Davis Cup,Angus G.,Bergen Y.,2,0,12,2,0,,
2026-07-10,WTA,Newport Beach WTA,Minnen G.,Brengle M.,2,0,13,5,0,1.3,3.44
2026-07-10,WTA,Bastad WTA,Badosa P.,Putintseva Y.,2,0,12,3,0,1.59,2.3
2026-07-10,WTA,Contrexeville WTA,Jeanjean L.,Tubello A.,2,1,15,13,0,1.54,2.4
2026-07-10,WTA,Aschaffenburg ITF,Kostovic T.,Zidansek T.,2,0,12,3,0,1.7,2.04
2026-07-10,WTA,Haag 2 ITF,Kovackova A.,Steur J.,2,1,17,15,0,1.84,1.88
2026-07-10,WTA,Columbus ITF,Daavettila S.,Rapolu M.,2,1,15,14,1,4.03,1.21
2026-07-10,WTA,Corroios-Seixal ITF,Shi H.,Bandecchi S.,2,0,14,12,2,1.94,1.77
2026-07-10,WTA,Buzau ITF,Struplova J.,Gandolfi F.,2,0,12,6,0,1.22,3.84
2026-07-10,WTA,Don Benito ITF,Kubka M.,Bertacchi A.,2,0,13,6,0,1.08,6.94
2026-07-10,WTA,Hillcrest 2 ITF,Hossam Salah J.,Van Zyl J.,2,0,12,3,0,1.73,1.99
2026-07-10,WTA,UTR Pro Tennis Series 5,Nova A.,Soulie A.,2,1,17,10,0,1.43,2.48
2026-07-10,WTA,Astana 14 ITF,Sholokhova M.,Kroitor K.,2,0,12,1,0,1.99,1.74
2026-07-10,WTA,Kursumlijska Banja 9 ITF,Supova K.,Jialin T.,2,0,12,8,0,2.01,1.7
2026-07-10,WTA,Luan 2 ITF,Trynkina A.,Leong S.,2,1,15,12,0,1.15,4.67
2026-07-10,WTA,Monastir 43 ITF,Rojas S.,Bartel K.,2,0,12,6,0,1.6,2.18
2026-07-10,WTA,Rancho Santa Fe ITF,Chan J.,Fakih K.,2,1,17,14,0,2.16,1.63
2026-07-10,WTA,Rio Claro ITF,Fullana L.,Barrera Aguirre I.,2,1,16,11,0,1.08,6.94
2026-07-10,WTA,UTR Pro Match Series,Shue V.,Chacon A.,2,1,15,15,0,1.12,4.95
2026-07-11,ATP,Newport challenger,Fearnley J.,Galarneau A.,2,1,18,14,1,1.35,2.99
2026-07-11,ATP,Braunschweig challenger,Gaston H.,Diaz Acosta F.,2,1,19,18,1,2.6,1.46
2026-07-11,ATP,Iasi challenger,Droguet T.,Royer V.,2,0,12,7,0,1.62,2.19
2026-07-11,ATP,Bogotá 5 challenger,Mejia N.,Varillas J.,2,1,17,12,0,1.47,2.56
2026-07-11,ATP,Trieste challenger,Dellien H.,Bernet H.,2,1,17,16,1,1.35,3.0
2026-07-11,ATP,Liege challenger,Broska F.,Coppejans K.,2,0,12,5,0,3.13,1.34
2026-07-11,ATP,Nottingham 3 challenger,Searle H.,Basing M.,2,0,13,7,0,1.21,4.07
2026-07-11,ATP,Futures 2026,Miyoshi K.,Legout T.,2,0,13,10,1,2.17,1.61
2026-07-11,ATP,UTR Pro Tennis Series 3,Sachdev R.,Bharathy N.,2,1,15,10,0,1.83,1.81
2026-07-11,ATP,UTR Pro Tennis Series 5,Jansson O.,Penman C.,2,1,18,14,1,1.15,4.23
2026-07-11,ATP,Davis Cup,Beckles D.,Angus G.,2,0,12,5,0,,
2026-07-11,ATP,Gstaad,Sachko V.,Dhamne M.,2,0,12,5,0,1.41,2.79
2026-07-11,ATP,Umag,Prado Angelo J.,Majdandzic M.,2,0,12,7,0,1.15,5.13
2026-07-11,WTA,Wimbledon,Noskova L.,Muchova K.,2,1,17,12,0,2.27,1.65
2026-07-11,WTA,Newport Beach WTA,Volynets K.,Minnen G.,2,0,12,5,0,1.76,2.01
2026-07-11,WTA,Bastad WTA,Badosa P.,Waltert S.,2,0,14,10,0,1.36,3.06
2026-07-11,WTA,Contrexeville WTA,Sherif M.,Jeanjean L.,2,0,14,11,1,1.58,2.3
2026-07-11,WTA,Aschaffenburg ITF,Gorgodze E.,Kostovic T.,2,0,13,7,1,3.29,1.29
2026-07-11,WTA,Haag 2 ITF,Vedder E.,Kovackova A.,2,0,14,11,1,1.65,2.13
2026-07-11,WTA,Columbus ITF,Pareja J.,Marino R.,2,0,13,7,0,1.89,1.81
2026-07-11,WTA,Corroios-Seixal ITF,Gao X.,Shi H.,2,0,13,8,0,1.5,2.43
2026-07-11,WTA,Buzau ITF,Dencheva R.,Struplova J.,2,0,12,3,0,1.82,1.88
2026-07-11,WTA,Don Benito ITF,Hruncakova V.,Ercan M.,2,0,12,3,0,1.13,5.14
2026-07-11,WTA,Hillcrest 2 ITF,Hossam Salah J.,Cirotte A.,2,1,17,12,0,1.43,2.65
2026-07-11,WTA,UTR Pro Tennis Series 5,Horvit M.,Kliuch V.,2,0,13,8,0,1.28,3.18
2026-07-11,WTA,Astana 14 ITF,Sagandikova A.,Yodpetch K.,2,1,18,16,0,2.19,1.59
2026-07-11,WTA,Kursumlijska Banja 9 ITF,Tomase E.,Stankovic A.,2,0,12,6,0,2.33,1.54
2026-07-11,WTA,Luan 2 ITF,Trynkina A.,Kalyakina M.,2,1,15,9,0,1.44,2.57
2026-07-11,WTA,Monastir 43 ITF,Perapekhina Y.,Wiersholm K.,2,0,12,3,0,1.13,5.28
2026-07-11,WTA,Rancho Santa Fe ITF,Shcherbinina A.,Chan J.,2,1,16,15,0,1.18,4.43
2026-07-11,WTA,Rio Claro ITF,Souza M.,Fullana L.,2,0,12,7,0,3.59,1.25
2026-07-11,WTA,UTR Pro Match Series,Chacon A.,Manning A.,2,1,15,12,0,2.78,1.35
2026-07-11,WTA,Astana 7 ITF,Kharlanova D.,Shikhanova M.,2,1,17,15,1,,
2026-07-11,WTA,Athens WTA,Morvayova V.,Sziedat F.,2,0,12,3,0,1.23,3.96
2026-07-11,WTA,Luan 4 ITF,Wang S.,Li H.,0,0,0,0,0,,
2026-07-12,ATP,Wimbledon,Sinner J.,Zverev A.,3,1,25,20,2,1.21,4.59
2026-07-12,ATP,Newport challenger,Fearnley J.,Walton A.,2,1,18,17,1,1.85,1.88
2026-07-12,ATP,Braunschweig challenger,Choinski J.,Gaston H.,2,1,16,10,0,1.59,2.25
2026-07-12,ATP,Iasi challenger,Piros Z.,Droguet T.,2,0,13,7,1,2.19,1.63
2026-07-12,ATP,Bogotá 5 challenger,Mejia N.,Soto M.,2,0,13,6,0,1.38,2.86
2026-07-12,ATP,Bundesliga - men,Napolitano S.,Otte O.,2,1,16,16,1,,
2026-07-12,ATP,Trieste challenger,Dellien H.,Dodig M.,2,1,17,13,0,1.52,2.42
2026-07-12,ATP,Liege challenger,Broska F.,Giustino L.,2,1,18,12,1,1.99,1.75
2026-07-12,ATP,Nottingham 3 challenger,Searle H.,Chidekh C.,2,0,12,8,0,1.39,2.83
2026-07-12,ATP,Futures 2026,Svajda T.,Kim A.,2,0,12,5,0,1.59,2.21
2026-07-12,ATP,UTR Pro Tennis Series 5,Krstic V.,Jansson O.,2,0,12,4,0,1.8,1.82
2026-07-12,ATP,Bastad,Damas M.,Slavic N.,2,0,12,5,0,1.14,5.34
2026-07-12,ATP,Bunschoten challenger,Wessels L.,Paardekooper S.,2,0,13,9,1,1.5,2.46
2026-07-12,ATP,Cordenons challenger,Salazar D.,Arnaboldi F.,2,1,15,11,0,5.24,1.13
2026-07-12,ATP,Futures 2026,Tazabekov D.,Lechner D.,2,1,20,17,1,,
2026-07-12,ATP,Granby challenger,Kirchheimer S.,Pearson K.,2,0,12,5,0,1.31,3.25
2026-07-12,ATP,Gstaad,Dietrich D.,Monteiro T.,2,1,15,13,0,1.72,2.05
2026-07-12,ATP,Lincoln challenger,Zhu E.,Rai A.,2,0,14,10,0,1.57,2.25
2026-07-12,ATP,Pozoblanco challenger,Leong M.,Azkara A.,2,0,12,5,0,1.97,1.75
2026-07-12,ATP,Umag,Prado Angelo J.,Sanchez Izquierdo N.,2,0,13,9,1,2.2,1.63
2026-07-12,WTA,Newport Beach WTA,Maria T.,Volynets K.,2,0,12,6,0,1.67,2.15
2026-07-12,WTA,Contrexeville WTA,Sherif M.,Vandromme J.,2,1,17,17,1,1.65,2.17
2026-07-12,WTA,Aschaffenburg ITF,Gorgodze E.,Sobolieva A.,2,0,7,0,0,2.7,1.41
2026-07-12,WTA,Haag 2 ITF,Vedder E.,Boskovic L.,2,0,12,7,0,1.47,2.54
2026-07-12,WTA,Columbus ITF,Pareja J.,Hosogi S.,2,0,12,6,0,1.18,4.37
2026-07-12,WTA,Corroios-Seixal ITF,Lee C.,Gao X.,2,1,13,9,0,1.73,1.96
2026-07-12,WTA,Don Benito ITF,Ryser V.,Hruncakova V.,2,0,12,8,0,2.2,1.6
2026-07-12,WTA,Hillcrest 2 ITF,Leykina P.,Hossam Salah J.,2,0,12,6,0,1.78,1.93
2026-07-12,WTA,UTR Pro Tennis Series 5,Obradovic A.,Horvit M.,2,0,13,8,1,1.61,2.08
2026-07-12,WTA,Astana 14 ITF,Maklakova E.,Sagandikova A.,2,0,12,1,0,1.31,3.14
2026-07-12,WTA,Kursumlijska Banja 9 ITF,Karunaratne A.,Tomase E.,2,1,14,8,0,1.66,2.1
2026-07-12,WTA,Luan 2 ITF,Trynkina A.,Shek C.,2,0,13,8,0,1.53,2.35
2026-07-12,WTA,Monastir 43 ITF,Perapekhina Y.,Rojas S.,2,0,13,10,1,1.6,2.17
2026-07-12,WTA,Rancho Santa Fe ITF,Miroshnichenko V.,Shcherbinina A.,2,0,12,7,0,2.11,1.65
2026-07-12,WTA,Rio Claro ITF,Babel O.,Souza M.,2,1,15,11,0,1.21,3.94
2026-07-12,WTA,Astana 7 ITF,Belyaeva D.,Sleptsova P.,0,0,0,0,0,,
2026-07-12,WTA,Athens WTA,Hodzic M.,Yashina E.,2,0,12,3,0,1.11,5.92
2026-07-12,WTA,Brisbane 6 ITF,Niimi K.,Rsovac D.,2,0,12,1,0,,
2026-07-12,WTA,Granby ITF,Dong E.,Dobreva M.,2,0,12,4,0,1.13,5.19
2026-07-12,WTA,Hillcrest 3 ITF,Dube L.,Sekonopo N.,2,0,12,3,0,,
2026-07-12,WTA,Iasi WTA,Lepchenko V.,Burcescu M.,2,1,16,12,0,1.21,3.98
2026-07-12,WTA,Istanbul 10 ITF,Nugroho P.,Soke D.,2,0,12,4,0,1.41,2.76
2026-07-12,WTA,Kitzbühel WTA,Jakupovic D.,Rouvroy M.,2,0,12,2,0,1.72,2.03
2026-07-12,WTA,Kursumlijska Banja 10 ITF,Luescher S.,Colic A.,2,0,12,0,0,,
2026-07-12,WTA,Luan 4 ITF,Ounmuang S.,Sun J.,2,0,12,2,0,,
2026-07-12,WTA,Monastir 44 ITF,Haddad I.,Gombitova I.,2,0,12,0,0,,
2026-07-12,WTA,Nottingham 3 ITF,Wiersholm K.,Mdlulwa W.,2,0,12,5,0,,
2026-07-12,WTA,Rome 2 WTA,Malygina E.,Turini V.,2,1,18,17,1,1.79,1.94
2026-07-12,WTA,Vitoria-Gasteiz ITF,Anson Sanchez C.,Dapkute I.,2,1,17,15,1,4.29,1.18
2026-07-13,ATP,Bastad,De Jong J.,Gaubas V.,2,0,14,11,1,1.41,2.89
2026-07-13,ATP,Gstaad,Stricker D.,Munar J.,2,0,12,6,0,3.99,1.24
2026-07-13,ATP,Umag,Prizmic D.,Kopriva V.,2,0,12,4,0,1.3,3.43
2026-07-13,ATP,Lincoln challenger,Wong C.,Wu T.,2,0,12,4,0,1.55,2.34
2026-07-13,ATP,Bunschoten challenger,Houkes M.,Jorda Sanchis D.,2,0,12,4,0,1.85,1.87
2026-07-13,ATP,Cordenons challenger,Napolitano S.,Balshaw F.,2,1,16,8,0,2.69,1.43
2026-07-13,ATP,Pozoblanco challenger,Santillan A.,Lopez Escribano A.,2,1,15,9,0,1.1,6.38
2026-07-13,ATP,Futures 2026,Cundom J.,Fontes Damorim F.,2,0,12,7,0,1.02,10.0
2026-07-13,ATP,UTR Pro Tennis Series 5,De Visser S.,Mahjoob C.,2,0,12,3,0,5.0,1.11
2026-07-13,ATP,UTR Pro Tennis Series 9,Charusorn P.,Irwanto J.,2,1,14,15,0,2.83,1.34
2026-07-13,ATP,Bastad,Damas M.,Faurel T.,2,1,16,16,1,2.18,1.64
2026-07-13,ATP,Bunschoten challenger,Nijboer R.,Kuzmanov D.,2,0,13,9,1,2.69,1.42
2026-07-13,ATP,Cordenons challenger,Tabacco G.,Vincent Ruggeri S.,2,0,12,4,0,1.62,2.19
2026-07-13,ATP,Futures 2026,Yang Z.,Pinheiro N.,0,0,0,0,0,,
2026-07-13,ATP,Granby challenger,Miyoshi K.,Poling K.,2,1,19,18,1,1.24,3.75
2026-07-13,ATP,Lincoln challenger,Langmo C.,Sheehy J.,2,1,19,15,1,1.46,2.58
2026-07-13,ATP,Pozoblanco challenger,Ivashka I.,Radulov I.,2,0,12,8,0,1.5,2.44
2026-07-13,WTA,Iasi WTA,Burel C.,Lepchenko V.,2,1,15,14,0,1.48,2.59
2026-07-13,WTA,Athens WTA,Parks A.,Grammatikopoulou V.,2,0,13,10,1,1.09,7.26
2026-07-13,WTA,Istanbul 10 ITF,Gasanova A.,Bandecchi S.,2,0,13,10,1,1.62,2.23
2026-07-13,WTA,Kitzbühel WTA,Erjavec V.,Bosio V.,2,1,18,14,1,1.19,4.46
2026-07-13,WTA,Rome 2 WTA,Urgesi F.,Kotliar Y.,2,0,12,3,0,1.4,2.86
2026-07-13,WTA,Granby ITF,Cabrera L.,Plekhanova D.,2,1,16,14,0,1.4,2.74
2026-07-13,WTA,UTR Pro Tennis Series 5,Borodulina V.,Breen S.,2,0,12,4,0,1.56,2.2
2026-07-13,WTA,UTR Pro Tennis Series 9,Teso K.,Kobayashi C.,2,0,12,0,0,,
2026-07-13,WTA,UTR Pro Match Series,Kubo K.,Arai A.,2,0,12,0,0,1.11,5.12
2026-07-13,WTA,Astana 7 ITF,Ronde S.,Milash E.,2,1,21,18,1,,
2026-07-13,WTA,Billie Jean King Cup,Attig S.,Mebarki R.,2,0,12,0,0,,
2026-07-13,WTA,Brisbane 6 ITF,Dodaj C.,Piliptsevich A.,2,1,21,11,1,,
2026-07-13,WTA,Dallas 2 ITF,Reed L.,Jauffret C.,2,1,16,13,1,,
2026-07-13,WTA,Darmstadt ITF,Herrmann S.,Cinalli L.,2,0,12,5,0,3.3,1.3
2026-07-13,WTA,Granby ITF,Dong E.,Poling L.,2,0,12,5,0,1.43,2.69
2026-07-13,WTA,Hillcrest 3 ITF,Chan W.,Kumari J.,2,0,12,7,0,3.2,2.2
2026-07-13,WTA,Iasi WTA,Ibragimova A.,Lepchenko V.,2,0,12,7,0,2.07,1.7
2026-07-13,WTA,Istanbul 10 ITF,Nugroho P.,Saigo R.,2,0,12,6,0,1.4,2.81
2026-07-13,WTA,Krsko ITF,Moccia C.,Ribnikar M.,2,0,12,3,0,,
2026-07-13,WTA,Kursumlijska Banja 10 ITF,Daniels E.,Veskovic E.,2,0,12,0,0,,
2026-07-13,WTA,Luan 4 ITF,Lim S.,Zhou J.,2,1,17,12,1,,
2026-07-13,WTA,Monastir 44 ITF,Mazzoni J.,Ferguson R.,2,0,12,4,0,,
2026-07-13,WTA,Nottingham 3 ITF,Rajeshwaran Revathi M.,Hutchings L.,2,1,16,9,0,1.28,3.39
